,Date,Open,High,Low,Close
361,2021-02-22,36.4,37.98,36.1148,36.29
360,2021-02-19,37.0,37.13,36.01,36.34
359,2021-02-18,37.0,37.43,35.79,36.31
358,2021-02-17,36.97,37.88,36.51,37.33
357,2021-02-16,38.94,39.0,37.0,37.25
356,2021-02-12,36.73,38.1,35.5,37.98
355,2021-02-11,39.11,39.1899,36.55,37.15
354,2021-02-10,41.99,41.99,38.89,39.3
353,2021-02-09,40.68,42.35,38.62,41.33
352,2021-02-08,40.95,43.0,40.5,40.83
351,2021-02-05,41.17,41.42,39.6,40.56
350,2021-02-04,41.03,41.69,39.7206,41.01
349,2021-02-03,38.32,40.75,38.2,40.47
348,2021-02-02,38.96,39.55,37.5,38.16
347,2021-02-01,38.36,38.67,36.45,38.56
346,2021-01-29,39.02,39.5799,37.1,38.06
345,2021-01-28,39.5,40.48,38.02,39.53
344,2021-01-27,40.5,41.39,37.78,40.65
343,2021-01-26,39.13,44.24,39.081,41.27
342,2021-01-25,39.45,39.7603,36.0,38.68
341,2021-01-22,39.25,40.0,39.0,39.62
340,2021-01-21,40.05,40.36,39.07,40.3
339,2021-01-20,40.4,40.978,38.98,39.37
338,2021-01-19,41.63,42.45,39.21,41.32
337,2021-01-15,42.85,43.3099,40.6,41.43
336,2021-01-14,44.86,44.9999,42.11,44.2
335,2021-01-13,45.68,46.3,43.75,44.4
334,2021-01-12,43.05,44.7707,42.76,44.5
333,2021-01-11,40.78,44.8999,39.8069,42.51
332,2021-01-08,41.2,43.49,40.0359,42.38
331,2021-01-07,40.96,40.98,38.8,39.9
330,2021-01-06,38.72,40.96,37.02,37.75
329,2021-01-05,34.96,37.85,34.05,36.39
328,2021-01-04,38.0,38.0999,35.5,36.78
327,2020-12-31,41.63,41.63,39.15,40.08
326,2020-12-30,42.33,43.34,40.8,41.18
325,2020-12-29,42.0,42.165,38.9,40.59
324,2020-12-28,49.08,49.09,42.19,43.6
323,2020-12-24,45.56,49.48,45.1247,46.1
322,2020-12-23,42.89,48.8,41.06,44.89
321,2020-12-22,39.99,46.58,37.5,45.23
320,2020-12-21,37.26,39.98,36.5,39.0
319,2020-12-18,35.94,37.49,35.03,35.99
318,2020-12-17,35.52,36.0,34.55,35.5
317,2020-12-16,35.23,36.45,34.2,34.95
316,2020-12-15,34.0,34.96,32.65,34.94
315,2020-12-14,39.59,39.98,35.0,35.71
314,2020-12-11,39.32,40.0,36.78,37.91
313,2020-12-10,39.22,42.6,38.17,41.9
312,2020-12-09,40.0,44.41,36.15,43.0
311,2020-12-08,38.35,38.98,35.44,38.56
310,2020-12-07,35.0,37.59,34.15,36.37
309,2020-12-04,32.0,34.0,30.41,32.9
308,2020-12-03,31.39,32.9,30.09,32.56
307,2020-12-02,26.14,31.79,24.56,29.5
306,2020-12-01,35.36,35.48,29.0,29.35
305,2020-11-30,39.1,39.1167,32.56,33.61
304,2020-11-27,36.77,37.75,36.0,37.13
303,2020-11-25,34.69,36.67,33.1,34.94
302,2020-11-24,39.62,42.3,33.6,36.88
301,2020-11-23,29.83,35.88,29.53,34.08
300,2020-11-20,25.96,28.7,25.51,26.16
299,2020-11-19,20.15,25.43,19.87,24.7
298,2020-11-18,20.64,20.66,19.5,19.68
297,2020-11-17,18.51,20.99,17.99,19.48
296,2020-11-16,17.2,18.64,16.8455,18.2
295,2020-11-13,16.9,17.48,15.87,16.55
294,2020-11-12,16.9,17.1,16.1,16.37
293,2020-11-11,17.03,17.15,16.28,17.0
292,2020-11-10,17.32,17.37,15.34,16.96
291,2020-11-09,17.85,18.0,16.6,16.88
290,2020-11-06,15.6,16.86,15.58,16.11
289,2020-11-05,14.79,15.4,14.77,15.33
288,2020-11-04,15.12,15.2,13.15,14.2
287,2020-11-03,14.18,15.3999,13.875,14.9
286,2020-11-02,13.8,14.18,13.01,13.71
285,2020-10-30,13.6,13.6001,12.8,13.23
284,2020-10-29,13.44,14.02,13.05,13.6
283,2020-10-28,13.5,13.79,12.75,13.32
282,2020-10-27,14.2,14.55,13.91,13.95
281,2020-10-26,15.6,15.6,14.1,14.16
280,2020-10-23,16.38,16.38,15.12,15.61
279,2020-10-22,16.15,16.51,15.4,15.94
278,2020-10-21,16.5,16.87,16.0,16.2
277,2020-10-20,16.5,17.5992,16.0,16.04
276,2020-10-19,15.71,16.49,15.55,16.09
275,2020-10-16,15.39,16.15,15.08,15.21
274,2020-10-15,14.46,15.2,14.45,15.14
273,2020-10-14,14.54,14.85,13.945,14.85
272,2020-10-13,15.0,15.0399,14.11,14.42
271,2020-10-12,15.0,15.6,14.85,15.05
270,2020-10-09,15.1,15.14,14.35,14.66
269,2020-10-08,13.98,15.38,13.7512,14.72
268,2020-10-07,14.17,14.39,13.25,13.71
267,2020-10-06,14.63,14.63,13.66,13.9
266,2020-10-05,15.47,15.4935,14.5,14.96
265,2020-10-02,14.45,15.39,14.36,15.39
264,2020-10-01,16.0,16.1,15.21,15.38
263,2020-09-30,15.54,16.24,15.05,15.6
262,2020-09-29,15.75,15.795,14.8,15.21
261,2020-09-28,15.21,16.45,15.2,15.53
260,2020-09-25,12.72,13.94,12.64,13.84
259,2020-09-24,12.33,13.16,11.11,12.46
258,2020-09-23,13.1,13.15,11.9,12.18
257,2020-09-22,13.75,13.9,13.11,13.19
256,2020-09-21,14.17,14.23,13.2,13.79
255,2020-09-18,14.0,14.25,13.55,14.25
254,2020-09-17,13.93,14.35,13.31,14.25
253,2020-09-16,10.42,13.7099,10.27,13.3
252,2020-09-15,10.45,10.46,10.4101,10.45
251,2020-09-14,10.32,10.4,10.25,10.37
250,2020-09-11,10.4,10.4,10.27,10.35
249,2020-09-10,10.4,10.4,10.36,10.38
248,2020-09-09,10.4,10.4,10.35,10.4
247,2020-09-08,10.35,10.45,10.2901,10.35
246,2020-09-04,10.19,10.36,10.19,10.35
