,Date,Open,High,Low,Close
253,2021-02-08,100.0,104.75,99.63,104.49
252,2021-02-05,99.8,100.2,97.16,99.63
251,2021-02-04,98.49,100.67,97.26,99.33
250,2021-02-03,94.84,97.7719,92.14,97.51
249,2021-02-02,93.99,95.21,90.295,94.19
248,2021-02-01,91.2,94.06,91.02,92.23
247,2021-01-29,89.5,91.1489,86.24,90.33
246,2021-01-28,84.6499,89.99,84.0,89.86
245,2021-01-27,92.99,93.0,82.81,84.01
244,2021-01-26,96.4,100.75,93.4,93.45
243,2021-01-25,96.37,99.2,93.53,96.16
242,2021-01-22,93.4,95.79,93.4,95.7
241,2021-01-21,97.58,98.5,93.09,94.61
240,2021-01-20,95.08,98.3914,93.77,96.57
239,2021-01-19,91.94,95.7,91.71,94.36
238,2021-01-15,92.2,94.4999,87.61,90.89
237,2021-01-14,87.85,94.42,87.75,92.85
236,2021-01-13,89.86,91.0,87.905,88.5
235,2021-01-12,87.75,89.67,87.2,89.55
234,2021-01-11,87.99,89.9,86.65,87.49
233,2021-01-08,85.3,89.1698,83.89,88.91
232,2021-01-07,80.55,86.9,80.3,85.31
231,2021-01-06,82.5,83.08,78.52,79.67
230,2021-01-05,79.48,82.83,77.8,82.66
229,2021-01-04,79.6,80.0,77.2158,79.48
228,2020-12-31,82.0,82.23,79.01,79.18
227,2020-12-30,82.06,83.39,80.9212,81.84
226,2020-12-29,82.0,82.77,75.7,79.42
225,2020-12-28,84.59,84.85,82.0,82.06
224,2020-12-24,85.28,86.38,82.27,83.95
223,2020-12-23,83.24,86.37,82.0,84.4
222,2020-12-22,83.45,85.68,81.7489,83.41
221,2020-12-21,77.7,83.14,77.1,82.71
220,2020-12-18,79.19,81.31,78.12,79.86
219,2020-12-17,77.48,79.07,74.915,78.35
218,2020-12-16,74.3,77.86,73.4645,77.48
217,2020-12-15,72.025,74.3,71.68,74.26
216,2020-12-14,72.97,75.23,71.5,72.03
215,2020-12-11,67.15,74.45,67.0,71.81
214,2020-12-10,65.0,68.3,64.5,67.93
213,2020-12-09,66.6328,69.57,65.83,66.21
212,2020-12-08,67.47,67.5,63.8,67.24
211,2020-12-07,66.65,69.415,66.095,67.99
210,2020-12-04,65.11,66.49,62.6801,66.19
209,2020-12-03,66.08,66.6899,64.34,64.69
208,2020-12-02,66.23,66.94,63.96,65.44
207,2020-12-01,70.2756,71.11,66.78,67.79
206,2020-11-30,70.3,70.6,66.7,69.58
205,2020-11-27,65.0,70.56,65.0,69.6
204,2020-11-25,66.0,66.78,63.17,63.6
203,2020-11-24,67.85,69.1,65.13,66.18
202,2020-11-23,64.86,69.48,63.59,67.65
201,2020-11-20,58.67,62.9,58.15,60.6
200,2020-11-19,57.46,60.2,57.1,58.57
199,2020-11-18,59.46,59.93,56.0,57.75
198,2020-11-17,60.69,61.39,58.5366,59.54
197,2020-11-16,56.8,59.53,56.16,58.79
196,2020-11-13,53.57,58.09,53.57,57.81
195,2020-11-12,53.2,55.97,52.34,52.69
194,2020-11-11,50.81,51.54,49.06,51.43
193,2020-11-10,53.12,53.3,49.28,50.44
192,2020-11-09,54.75,56.89,52.96,53.38
191,2020-11-06,53.2,54.57,51.3166,52.95
190,2020-11-05,52.0,54.72,50.81,54.03
189,2020-11-04,48.99,51.39,48.74,50.29
188,2020-11-03,49.51,50.23,48.0,48.06
187,2020-11-02,49.23,49.99,48.3,48.79
186,2020-10-30,51.7,51.74,47.59,48.78
185,2020-10-29,55.0,55.25,51.44,52.09
184,2020-10-28,57.94,58.3213,54.1,54.2
183,2020-10-27,58.47,59.7,57.79,59.63
182,2020-10-26,59.79,61.8599,57.31,58.01
181,2020-10-23,58.5993,60.64,58.4,60.61
180,2020-10-22,55.72,58.85,55.51,58.49
179,2020-10-21,55.98,57.0,54.55,55.84
178,2020-10-20,57.53,57.9,55.45,55.67
177,2020-10-19,58.22,58.55,56.0406,57.21
176,2020-10-16,56.51,58.62,56.0,57.94
175,2020-10-15,55.8,56.81,54.71,55.87
174,2020-10-14,59.1,60.75,56.51,56.57
173,2020-10-13,61.85,61.89,58.36,58.95
172,2020-10-12,58.48,62.26,58.03,62.25
171,2020-10-09,54.45,57.1,54.3,56.72
170,2020-10-08,54.4,55.55,52.7508,53.86
169,2020-10-07,54.91,55.37,52.6,53.97
168,2020-10-06,54.24,56.81,53.87,54.57
167,2020-10-05,51.67,54.54,51.67,53.87
166,2020-10-02,50.18,53.97,50.0,51.34
165,2020-10-01,47.92,51.89,47.5,51.71
164,2020-09-30,47.81,49.84,46.95,47.51
163,2020-09-29,48.9,49.09,47.21,47.55
162,2020-09-28,50.02,50.3,47.15,49.0
161,2020-09-25,47.68,49.98,46.63,49.16
160,2020-09-24,49.07,49.2994,46.27,46.87
159,2020-09-23,51.65,51.73,49.1,49.57
158,2020-09-22,54.49,54.8,50.65,51.13
157,2020-09-21,54.7,55.67,51.6,54.49
156,2020-09-18,52.8,56.5785,52.37,56.05
155,2020-09-17,51.13,52.365,50.795,51.68
154,2020-09-16,52.94,54.1,52.29,52.34
153,2020-09-15,56.37,56.44,52.74,53.01
152,2020-09-14,54.35,57.23,54.31,55.98
151,2020-09-11,54.49,55.84,53.4503,53.96
150,2020-09-10,54.0,58.79,53.495,53.71
149,2020-09-09,52.94,54.7,52.2,53.97
148,2020-09-08,52.1,54.06,51.1,52.1
147,2020-09-04,56.01,57.2599,50.04,53.7
146,2020-09-03,61.3,61.355,56.3605,56.71
145,2020-09-02,61.33,62.44,59.005,62.02
144,2020-09-01,59.36,61.3,57.52,60.79
143,2020-08-31,60.3925,61.8,59.26,60.46
142,2020-08-28,63.3,63.75,60.505,61.69
141,2020-08-27,64.84,65.235,62.61,63.43
140,2020-08-26,64.13,66.11,62.755,64.78
139,2020-08-25,63.46,65.5,61.604,64.64
138,2020-08-24,69.29,70.0008,62.78,63.76
137,2020-08-21,67.34,70.35,66.91,68.68
136,2020-08-20,67.38,68.08,66.4,67.09
135,2020-08-19,68.01,68.58,66.12,67.39
134,2020-08-18,68.81,69.56,66.44,68.63
133,2020-08-17,69.59,70.09,67.4001,67.62
132,2020-08-14,72.65,73.48,69.28,69.45
131,2020-08-13,67.57,77.45,67.0,73.07
130,2020-08-12,68.06,68.8199,64.32,66.87
129,2020-08-11,70.75,71.77,66.41,69.39
128,2020-08-10,71.07,75.55,70.2,74.26
127,2020-08-07,72.05,73.5,69.6,71.17
126,2020-08-06,76.0,76.25,71.7001,71.98
125,2020-08-05,73.15,76.58,72.62,76.0
124,2020-08-04,73.49,76.625,71.56,72.61
123,2020-08-03,71.03,74.5584,68.88,73.77
122,2020-07-31,76.34,76.92,70.06,72.38
121,2020-07-30,76.3,79.0,75.0,75.87
120,2020-07-29,75.36,77.49,73.34,77.21
119,2020-07-28,79.66,79.75,73.82,74.09
118,2020-07-27,77.0,79.9,76.14,77.34
117,2020-07-24,78.8,78.86,74.1,76.27
116,2020-07-23,87.32,88.51,80.91,81.98
115,2020-07-22,83.28,87.32,81.55,87.15
114,2020-07-21,87.96,89.2,83.5,83.61
113,2020-07-20,85.05,88.5,84.62,87.55
112,2020-07-17,80.0,85.75,79.94,84.63
111,2020-07-16,82.94,83.0,77.29,79.0
110,2020-07-15,84.01,84.94,80.3,84.21
109,2020-07-14,88.23,89.81,81.185,82.63
108,2020-07-13,96.98,97.46,87.124,87.77
107,2020-07-10,93.59,97.9,91.34,92.36
106,2020-07-09,90.01,94.64,90.0,93.33
105,2020-07-08,89.05,91.413,87.21,88.88
104,2020-07-07,93.52,94.0,86.3,87.09
103,2020-07-06,96.81,99.5,92.82,93.22
102,2020-07-02,97.0,97.73,92.65,92.82
101,2020-07-01,93.0,95.3,89.43,93.0
100,2020-06-30,87.69,91.99,86.1,91.57
99,2020-06-29,86.97,87.65,83.5581,86.0
98,2020-06-26,91.0,92.02,83.6,84.64
97,2020-06-25,82.78,88.145,78.595,87.49
96,2020-06-24,79.51,84.21,77.5101,81.29
95,2020-06-23,77.77,82.38,77.0,80.22
94,2020-06-22,76.5,77.0,72.15,75.65
93,2020-06-19,76.7,78.89,72.45,75.06
92,2020-06-18,72.77,75.9,72.06,75.42
91,2020-06-17,68.0,76.94,67.33,71.63
90,2020-06-16,69.14,70.5,65.36,67.41
89,2020-06-15,59.99,68.77,59.62,67.41
88,2020-06-12,62.71,64.45,59.5,60.51
87,2020-06-11,65.0,66.2,59.35,59.84
86,2020-06-10,68.51,68.945,66.61,67.17
85,2020-06-09,64.98,70.22,63.81,68.59
84,2020-06-08,64.5,65.3,62.51,65.06
83,2020-06-05,64.69,66.58,63.2401,63.59
82,2020-06-04,67.62,69.63,63.63,63.81
81,2020-06-03,69.51,70.474,67.16,68.74
80,2020-06-02,71.38,71.93,67.77,69.57
79,2020-06-01,68.7,71.85,68.01,69.6
78,2020-05-29,62.32,68.63,62.01,68.45
77,2020-05-28,65.0,66.6699,62.03,62.24
76,2020-05-27,70.2,70.2,60.0,65.25
75,2020-05-26,74.05,75.6,66.98,69.06
74,2020-05-22,65.58,71.8,65.58,69.17
73,2020-05-21,65.8,69.2,63.73,65.33
72,2020-05-20,67.78,72.49,63.33,64.71
71,2020-05-19,58.55,67.5,58.55,66.48
70,2020-05-18,58.65,60.86,57.11,59.05
69,2020-05-15,53.15,57.9,52.92,57.0
68,2020-05-14,52.71,55.4399,50.51,54.0
67,2020-05-13,54.6,61.93,49.4,55.47
66,2020-05-12,55.75,61.0,53.0,58.73
65,2020-05-11,48.9,57.37,48.9,54.9
64,2020-05-08,50.95,51.98,48.05,48.82
63,2020-05-07,48.76,51.27,48.4545,50.0
62,2020-05-06,48.46,49.25,47.72,47.89
61,2020-05-05,48.84,49.99,47.25,48.25
60,2020-05-04,46.89,49.15,46.5099,48.36
59,2020-05-01,45.26,47.84,45.05,46.72
58,2020-04-30,49.38,49.94,45.5818,46.4
57,2020-04-29,50.61,51.51,49.35,49.69
56,2020-04-28,50.39,52.9599,47.06,49.43
55,2020-04-27,52.22,52.4281,48.6,49.68
54,2020-04-24,45.67,51.97,44.264,51.62
53,2020-04-23,46.44,47.9,44.58,45.32
52,2020-04-22,44.97,47.0,43.75,46.27
51,2020-04-21,47.02,49.0,40.88,44.5
50,2020-04-20,40.2,48.48,40.119,48.48
49,2020-04-17,41.46,41.69,39.3,40.51
48,2020-04-16,37.9,40.84,37.8075,40.84
47,2020-04-15,38.77,39.64,35.8,36.12
46,2020-04-14,41.77,43.8,38.65,39.19
45,2020-04-13,40.92,41.52,39.6205,41.03
44,2020-04-09,40.8,41.6,38.5001,41.3
43,2020-04-08,39.19,41.9,38.78,40.4
42,2020-04-07,40.16,40.55,38.5,39.07
41,2020-04-06,40.62,41.5,38.8006,39.79
40,2020-04-03,37.95,40.21,37.5877,40.12
39,2020-04-02,39.4,40.8927,37.5,37.95
38,2020-04-01,41.43,43.7,39.075,39.39
37,2020-03-31,42.6,46.44,40.61,43.12
36,2020-03-30,40.4,42.3587,40.0854,42.18
35,2020-03-27,39.88,42.8,39.18,40.23
34,2020-03-26,39.25,42.35,38.64,41.25
33,2020-03-25,41.37,41.69,38.01,38.9
32,2020-03-24,44.3,45.3,40.26,41.29
31,2020-03-23,39.2,44.71,38.26,42.78
30,2020-03-20,34.42,39.69,33.3622,38.55
29,2020-03-19,28.96,34.49,28.51,33.44
28,2020-03-18,29.1,33.63,27.68,28.96
27,2020-03-17,31.01,31.57,27.04,30.37
26,2020-03-16,32.45,32.5,30.01,30.38
25,2020-03-13,39.75,40.49,34.53,35.58
24,2020-03-12,38.49,43.75,35.0,37.31
23,2020-03-11,33.29,37.03,32.015,35.52
22,2020-03-10,39.38,39.8933,32.1,35.03
21,2020-03-09,38.58,41.4099,37.18,37.25
20,2020-03-06,39.9,43.66,39.2,43.32
19,2020-03-05,41.89,43.98,40.51,41.17
18,2020-03-04,41.97,43.77,39.51,43.0
17,2020-03-03,44.55,45.677,39.0601,39.51
16,2020-03-02,48.23,49.7699,43.0,44.75
15,2020-02-28,43.52,47.49,42.5,46.38
14,2020-02-27,39.0,51.1247,38.0,43.43
13,2020-02-26,45.95,47.55,40.06,42.39
12,2020-02-25,54.1,54.5,43.16,43.59
11,2020-02-24,45.0,56.65,44.0,52.99
10,2020-02-21,51.55,54.83,45.0,50.0
9,2020-02-20,36.4,48.73,32.84,47.62
8,2020-02-19,32.28,36.4142,32.28,35.72
7,2020-02-18,27.17,32.16,27.0,31.9
6,2020-02-14,26.61,27.1,26.24,26.9
5,2020-02-13,27.08,27.55,26.06,26.6
4,2020-02-12,27.33,28.216,26.66,27.13
3,2020-02-11,28.75,29.5197,26.65,26.79
2,2020-02-10,32.38,33.45,28.11,28.94
1,2020-02-07,30.45,34.15,29.31,31.92
0,2020-02-06,26.0,31.4,25.5,28.64
